MAIN.PRIVATE_GAME	Своя игра
SETTINGS.CONTROLS.MOVE_BACK	Назад
SETTINGS.CONTROLS.MOVE_RIGHT	Вправо
SETTINGS.CONTROLS.JUMP	Прыжок
SETTINGS.CONTROLS.CROUCH	Присесть
SETTINGS.CONTROLS.SPRINT	Бег
SETTINGS.CONTROLS.TUMBLE	Рывок
SETTINGS.CONTROLS.GRABBING	Захват
SETTINGS.CONTROLS.GRAB	Захват
SETTINGS.CONTROLS.ROTATE	Вращать
SETTINGS.CONTROLS.PUSH	Оттолкнуть
SETTINGS.CONTROLS.PULL	Притянуть
SETTINGS.CONTROLS.OTHER	Прочее
SETTINGS.CONTROLS.MAP	Карта
SETTINGS.CONTROLS.INTERACT	Взаимодействие
SETTINGS.CONTROLS.INVENTORY_1	Инвентарь 1
SETTINGS.CONTROLS.INVENTORY_2	Инвентарь 2
SETTINGS.CONTROLS.INVENTORY_3	Инвентарь 3
SETTINGS.CONTROLS.CHAT	Чат
SETTINGS.CONTROLS.CONFIRM	Подтвердить
SETTINGS.CONTROLS.BACK	Назад
SETTINGS.CONTROLS.MENU	Меню
SETTINGS.CONTROLS.SPECTATE_NEXT	Следующий игрок
SETTINGS.CONTROLS.SPECTATE_PREVIOUS	Предыдущий игрок
SETTINGS.CONTROLS.PUSH_TO_TALK	Говорить по кнопке
SETTINGS.CONTROLS.TOGGLE_MUTE	Выключить микрофон
SETTINGS.CONTROLS.PLAYER_EXPRESSIONS	Гримасы
SETTINGS.LANGUAGE.HEADER	Язык
COSMETICS.CATEGORY.PRESETS	Наборы
COSMETICS.CATEGORY.HEAD	Голова
COSMETICS.CATEGORY.ARMS	Руки
COSMETICS.CATEGORY.BODY	Тело
COSMETICS.CATEGORY.LEGS	Ноги
COSMETICS.CONFIRM	Подтвердить
COSMETICS.COLOR.HEADER	Выбор цвета
COSMETICS.COLOR.CONFIRM	Подтвердить
COSMETICS.PRESET.DELETE	Удалить
COSMETICS.TYPE.HAT	Головной убор
COSMETICS.TYPE.ARM_RIGHT	Одежда правой руки
COSMETICS.TYPE.ARM_LEFT	Одежда левой руки
COSMETICS.TYPE.LEG_RIGHT	Одежда правой ноги
COSMETICS.TYPE.LEG_LEFT	Одежда левой ноги
COSMETICS.TYPE.HEAD_TOP_MESH	Верх головы
COSMETICS.TYPE.HEAD_BOTTOM_MESH	Низ головы
COSMETICS.TYPE.BODY_TOP_MESH	Верх тела
COSMETICS.TYPE.BODY_BOTTOM_MESH	Низ тела
COSMETICS.TYPE.ARM_RIGHT_MESH	Правая рука
COSMETICS.TYPE.ARM_LEFT_MESH	Левая рука
COSMETICS.TYPE.LEG_RIGHT_MESH	Правая нога
COSMETICS.TYPE.LEG_LEFT_MESH	Левая нога
COSMETICS.TYPE.GRABBER_MESH	Захват
COSMETICS.TYPE.EYE_LID_RIGHT_MESH	Правое веко
COSMETICS.TYPE.EYE_LID_LEFT_MESH	Левое веко
COSMETICS.TYPE.BODY_TOP_OVERLAY	Накладка верха тела
COSMETICS.TYPE.EARS	Уши
COSMETICS.TYPE.EYEWEAR	Очки
COSMETICS.TYPE.BODY_TOP	Одежда верха тела
COSMETICS.TYPE.BODY_BOTTOM	Одежда низа тела
COSMETICS.TYPE.BODY_BOTTOM_OVERLAY	Накладка низа тела
COSMETICS.TYPE.HEAD_TOP_OVERLAY	Накладка верха головы
COSMETICS.TYPE.HEAD_BOTTOM_OVERLAY	Накладка низа головы
POPUP.DELETE_PRESET.HEADER	Удаление набора
POPUP.DELETE_PRESET.BODY	Вы ТОЧНО УВЕРЕНЫ, что хотите удалить этот набор НАВСЕГДА?
POPUP.DELETE_PRESET.OPT1	Да! :')
POPUP.DELETE_PRESET.OPT2	Нет...
SETTINGS.CONTROLS.ANGRY	Злость
SETTINGS.CONTROLS.SAD	Грусть
SETTINGS.CONTROLS.SUSPICIOUS	Подозрение
SETTINGS.CONTROLS.EYES_CLOSED	Закрытые глаза
SETTINGS.CONTROLS.SCARED	Испуг
SETTINGS.CONTROLS.HAPPY	Радость
POPUP.COSMETICS_COLOR_ALL.HEADER	Смена цвета
POPUP.COSMETICS_COLOR_ALL.BODY	Это заменит цвета на всех частях тела и косметике.\n\nЭто необратимо!
POPUP.COSMETICS_COLOR_ALL.OPT1	Да! :')
POPUP.COSMETICS_COLOR_ALL.OPT2	Нет...
SETTINGS.AUDIO.SFX_VOLUME	Громкость эффектов
SETTINGS.AUDIO.TEXT_TO_SPEECH_VOLUME	Громкость TTS
SETTINGS.CAMERA_ANIMATION.OFF	Выкл
SETTINGS.CAMERA_ANIMATION.VERY_LOW	Очень низкая
SETTINGS.CAMERA_ANIMATION.LOW	Низкая
SETTINGS.CAMERA_ANIMATION.MEDIUM	Средняя
SETTINGS.CAMERA_ANIMATION.DEFAULT	Стандартная
SETTINGS.RICH_PRESENCE.OFF	Выкл
SETTINGS.RICH_PRESENCE.MINIMAL	Минимальный
SETTINGS.RICH_PRESENCE.FULL	Полный
SETTINGS.WINDOW_MODE.WINDOWED	В окне
SETTINGS.WINDOW_MODE.FULLSCREEN	Полный экран
SETTINGS.MAX_FPS.UNLIMITED	Без ограничения
SETTINGS.LIGHT_DISTANCE.VERY_LOW	Очень низкая
SETTINGS.LIGHT_DISTANCE.LOW	Низкая
SETTINGS.LIGHT_DISTANCE.MEDIUM	Средняя
SETTINGS.LIGHT_DISTANCE.HIGH	Высокая
SETTINGS.LIGHT_DISTANCE.VERY_HIGH	Очень высокая
SETTINGS.SHADOW_QUALITY.VERY_LOW	Очень низкое
SETTINGS.SHADOW_QUALITY.LOW	Низкое
SETTINGS.SHADOW_QUALITY.MEDIUM	Среднее
SETTINGS.SHADOW_QUALITY.HIGH	Высокое
SETTINGS.SHADOW_QUALITY.VERY_HIGH	Очень высокое
SETTINGS.SHADOW_DISTANCE.VERY_LOW	Очень низкая
SETTINGS.SHADOW_DISTANCE.LOW	Низкая
SETTINGS.SHADOW_DISTANCE.MEDIUM	Средняя
SETTINGS.SHADOW_DISTANCE.HIGH	Высокая
SETTINGS.SHADOW_DISTANCE.VERY_HIGH	Очень высокая
SETTINGS.RENDER_SIZE.SMALL	Маленькая
SETTINGS.RENDER_SIZE.MEDIUM	Средняя
SETTINGS.RENDER_SIZE.DEFAULT	Стандартная
SETTINGS.MIC_DEVICE.NONE	Нет
POPUP.RESET_GAMEPLAY_SETTINGS.HEADER	Сброс игровых настроек
POPUP.RESET_GAMEPLAY_SETTINGS.BODY	Сбросить игровые настройки по умолчанию?
POPUP.RESET_GAMEPLAY_SETTINGS.OPT1	Да!
POPUP.RESET_GAMEPLAY_SETTINGS.OPT2	Нет
SETTINGS.GRAPHICS.HEADER	Графика
POPUP.RESET_GRAPHICS_SETTINGS.HEADER	Сброс настроек графики
POPUP.RESET_GRAPHICS_SETTINGS.BODY	Сбросить настройки графики по умолчанию?
POPUP.RESET_GRAPHICS_SETTINGS.OPT1	Да!
POPUP.RESET_GRAPHICS_SETTINGS.OPT2	Нет
POPUP.RESET_AUDIO_SETTINGS.HEADER	Сброс настроек звука
POPUP.RESET_AUDIO_SETTINGS.BODY	Сбросить настройки звука по умолчанию?
POPUP.RESET_AUDIO_SETTINGS.OPT1	Да!
POPUP.RESET_AUDIO_SETTINGS.OPT2	Нет
POPUP.RESET_CONTROLS_SETTINGS.HEADER	Сброс настроек управления
POPUP.RESET_CONTROLS_SETTINGS.BODY	Сбросить настройки управления по умолчанию?
POPUP.RESET_CONTROLS_SETTINGS.OPT1	Да!
POPUP.RESET_CONTROLS_SETTINGS.OPT2	Нет
COSMETICS.TYPE.FOOT_RIGHT	Обувь правой ноги
COSMETICS.TYPE.FOOT_LEFT	Обувь левой ноги
COSMETICS.TYPE.ARM_RIGHT_OVERLAY	Накладка правой руки
COSMETICS.TYPE.ARM_LEFT_OVERLAY	Накладка левой руки
COSMETICS.TYPE.LEG_RIGHT_OVERLAY	Накладка правой ноги
COSMETICS.TYPE.LEG_LEFT_OVERLAY	Накладка левой ноги
PASSWORD.HEADER	Пароль
PASSWORD.SKIP	Пропустить
LOADING.LOADING	Загрузка
LOADING.STUCK_PROMPT_TOP_TEXT	Загрузка зависла?
LOADING.STUCK_PROMPT_BOTTOM_TEXT	Нажмите [menu], чтобы выйти в главное меню
LOBBY.HEADER	Лобби
LOBBY.CHAT_PROMPT	[chat] — чат
LOBBY.START_GAME	Начать игру
LOBBY.INVITE	Пригласить
LOBBY.SETTINGS	Настройки
LOBBY.CUSTOMIZE	Внешний вид
LOBBY.LEAVE	Выйти
POPUP.START_GAME.HEADER	Начать игру
POPUP.START_GAME.BODY	Все готовы?\n\nПосле старта новые игроки\nуже не смогут зайти.
POPUP.START_GAME.OPT1	Да!
POPUP.START_GAME.OPT2	Нет, стойте!
POPUP.LEAVE_LOBBY.HEADER	Выход из лобби
POPUP.LEAVE_LOBBY.BODY	Вы уверены?
POPUP.LEAVE_LOBBY.OPT1	Да
POPUP.LEAVE_LOBBY.OPT2	Нет
POPUP.NEW_GAME.HEADER	Новая игра
POPUP.NEW_GAME.BODY	Хотите начать игру?
POPUP.NEW_GAME.OPT1	Да!
POPUP.NEW_GAME.OPT2	Нет
PASSWORD.CONFIRM	Подтвердить
LOBBY.PLAYER_JOINING	Игрок заходит...
COSMETICS.TYPE.HEAD_BOTTOM	Низ лица
POPUP.COSMETICS_RESET_ALL.HEADER	Очистка
POPUP.COSMETICS_RESET_ALL.BODY	Точно снять все части тела и всю косметику?\n\nЭто необратимо!
POPUP.COSMETICS_RESET_ALL.OPT1	Да! :')
POPUP.COSMETICS_RESET_ALL.OPT2	Нет...
POPUP.COSMETICS_RESET_BODY.HEADER	Очистка
POPUP.COSMETICS_RESET_BODY.BODY	Точно снять все части тела?\n\nЭто необратимо!
POPUP.COSMETICS_RESET_BODY.OPT1	Да! :')
POPUP.COSMETICS_RESET_BODY.OPT2	Нет...
POPUP.COSMETICS_RESET_COSMETICS.HEADER	Очистка
POPUP.COSMETICS_RESET_COSMETICS.BODY	Точно снять всю косметику?\n\nЭто необратимо!
POPUP.COSMETICS_RESET_COSMETICS.OPT1	Да! :')
POPUP.COSMETICS_RESET_COSMETICS.OPT2	Нет...
POPUP.COSMETICS_RANDOMIZE_ALL.HEADER	Случайный выбор
POPUP.COSMETICS_RANDOMIZE_ALL.BODY	Точно перемешать все части тела и всю косметику случайным образом?\n\nЭто необратимо!
POPUP.COSMETICS_RANDOMIZE_ALL.OPT1	Да! :')
POPUP.COSMETICS_RANDOMIZE_ALL.OPT2	Нет...
POPUP.COSMETICS_RANDOMIZE_BODY.HEADER	Случайный выбор
POPUP.COSMETICS_RANDOMIZE_BODY.BODY	Точно перемешать все части тела случайным образом?\n\nЭто необратимо!
POPUP.COSMETICS_RANDOMIZE_BODY.OPT1	Да! :')
POPUP.COSMETICS_RANDOMIZE_BODY.OPT2	Нет...
POPUP.COSMETICS_RANDOMIZE_COSMETICS.HEADER	Случайный выбор
POPUP.COSMETICS_RANDOMIZE_COSMETICS.BODY	Точно перемешать всю косметику случайным образом?\n\nЭто необратимо!
POPUP.COSMETICS_RANDOMIZE_COSMETICS.OPT1	Да! :')
POPUP.COSMETICS_RANDOMIZE_COSMETICS.OPT2	Нет...
POPUP.COSMETICS_COLOR_BODY.HEADER	Смена цвета
POPUP.COSMETICS_COLOR_BODY.BODY	Это заменит цвета на всех частях тела.\n\nЭто необратимо!
POPUP.COSMETICS_COLOR_BODY.OPT1	Да! :')
POPUP.COSMETICS_COLOR_BODY.OPT2	Нет...
POPUP.COSMETICS_COLOR_COSMETICS.HEADER	Смена цвета
POPUP.COSMETICS_COLOR_COSMETICS.BODY	Это заменит цвета на всей косметике.\n\nЭто необратимо!
POPUP.COSMETICS_COLOR_COSMETICS.OPT1	Да! :')
POPUP.COSMETICS_COLOR_COSMETICS.OPT2	Нет...
COSMETICS.TYPE.FACE_TOP	Верх лица
COSMETICS.TYPE.FACE_BOTTOM	Середина лица
MAIN.CUSTOMIZE	Внешний вид
ESC.HEADER	Меню
ESC.CONTINUE	Продолжить
ESC.CUSTOMIZE	Внешний вид
ESC.SETTINGS	Настройки
ESC.SELF_DESTRUCT	Самоуничтожение
ESC.ACTIVE_MOONS	Активные луны
ESC.MAIN_MENU	Главное меню
ESC.QUIT_GAME	Выйти из игры
POPUP.MAIN_MENU.OPT2	Нет
MOONS.HEADER	Активные луны
MOONS.BACK	Назад
MOONS.MOON_1.NAME	Растущая луна
MOONS.MOON_1.ATTRIBUTE_1	Лечилка в грузовике теперь восстанавливает 35 здоровья.
MOONS.MOON_1.ATTRIBUTE_2	Монстров стало труднее сбивать ценностями.
MOONS.MOON_2.NAME	Полулуние
MOONS.MOON_2.ATTRIBUTE_1	Монстры теперь перегружают ваш захват.
MOONS.MOON_2.ATTRIBUTE_2	Монстры получают большой урон от ям, но могут выжить.
MOONS.MOON_2.ATTRIBUTE_3	Лечилка в грузовике теперь восстанавливает 25 здоровья.
MOONS.MOON_3.NAME	Полная луна
MOONS.MOON_3.ATTRIBUTE_1	Монстры перегружают ваш захват на 25% сильнее
MOONS.MOON_3.ATTRIBUTE_2	Монстры получают меньше урона от ям.
MOONS.MOON_4.NAME	Суперлуние
MOONS.MOON_4.ATTRIBUTE_1	Сферы врагов теперь взрываются при уничтожении.
MOONS.MOON_4.ATTRIBUTE_2	Монстры перегружают ваш захват на 50% сильнее
MOONS.MOON_4.ATTRIBUTE_3	Монстры получают ещё меньше урона от ям.
LOBBY.PING	{ping} мс
REGIONS.PING	{ping} мс
SPLASH.PHOTOSENSITIVITY_WARNING.HEADER	Предупреждение о светочувствительности
SPLASH.PHOTOSENSITIVITY_WARNING.SUBHEADER	В этой игре есть мигающий свет.
SPLASH.PHOTOSENSITIVITY_WARNING.TEXT	У некоторых людей световые узоры и мигающий свет могут вызвать эпилептические припадки. Если во время игры вы почувствуете недомогание, немедленно прекратите играть и обратитесь к врачу.
LEVEL.NAME.SHOP	Станция обслуживания
LEVEL.NAME.ARENA	Арена утилизации
LEVEL.NAME.ARCTIC	Станция Макджаннек
LEVEL.NAME.MANOR	Поместье Дедульки
LEVEL.NAME.MUSEUM	Музей человеческого искусства
LEVEL.NAME.WIZARD	Академия Быстрой Метлы
LOADING.LEVEL.SHOP	Магазин
LOADING.LEVEL.LEVEL_NUMBER	Уровень {number}
LOADING.LEVEL.GAME_OVER	Игра окончена
SAVES.SAVE_INFO.PLAYER_SOLO	Вы справились в одиночку!
POPUP.SAVE_LIMIT.HEADER	Достигнут предел сохранений
POPUP.SAVE_LIMIT.BODY	Одновременно можно хранить только {limit} сохранений. Удалите часть, чтобы освободить место под новые.
POPUP.SAVE_LIMIT.BUTTON	ОК
POPUP.KICKED.HEADER	Исключение
POPUP.KICKED.BODY	Хост исключил вас из игры.
POPUP.KICKED.BUTTON	Ну ладно
POPUP.DISCONNECTED.HEADER	Отключение
POPUP.DISCONNECTED.STUCK_LOADING	Загрузка зависла
POPUP.DISCONNECTED.HOST_DISCONNECTED	Хост отключился
POPUP.DISCONNECTED.BUTTON	Ну ладно
POPUP.VERSION_MISMATCH.HEADER	Не та версия игры
POPUP.VERSION_MISMATCH.BODY	В лобби используется версия:\n{version}
POPUP.VERSION_MISMATCH.BUTTON	Ну ладно
POPUP.LOBBY_CLOSED.HEADER	Лобби закрыто
POPUP.LOBBY_CLOSED.BODY	Лобби закрылось.
POPUP.LOBBY_CLOSED.BUTTON	Ну ладно
POPUP.DISCONNECTED.CAUSE_PREFIX	Причина:
POPUP.DISCONNECTED.BANNED_LOBBY	Вам закрыт вход в это лобби.
PUBLIC_GAME_CHOICE.HEADER	Открытая игра
PUBLIC_GAME_CHOICE.RANDOM_MATCHMAKING	Случайный подбор
PUBLIC_GAME_CHOICE.SERVER_LIST	Список серверов
PUBLIC_GAME_CHOICE.BACK	Назад
SERVER_LIST.HEADER	Список серверов
SERVER_LIST.SEARCH	Поиск
SERVER_LIST.CREATE_NEW	Создать свой
SERVER_LIST.BACK	Назад
SERVER_LIST_SEARCH.HEADER	Поиск
SERVER_LIST_SEARCH.CONFIRM	Подтвердить
SERVER_LIST_SEARCH.BACK	Назад
SERVER_LIST_CREATE_NEW.HEADER	Создание сервера
SERVER_LIST_CREATE_NEW.CONFIRM	Подтвердить
SERVER_LIST_CREATE_NEW.BACK	Назад
SETTINGS.GAMEPLAY.INVERT_VERTICAL_AIM	Инверсия оси Y
